Episode,Success_rate
50,0.34
100,0.36
150,0.48
200,0.56
250,0.52
300,0.48
350,0.54
400,0.52
450,0.46
500,0.38
550,0.42
600,0.24
650,0.56
700,0.42
750,0.46
800,0.46
850,0.38
900,0.5
950,0.48
1000,0.52
1050,0.4
1100,0.58
1150,0.48
1200,0.4
1250,0.52
1300,0.62
1350,0.5
1400,0.36
1450,0.5
1500,0.58
1550,0.4
1600,0.58
1650,0.56
1700,0.48
1750,0.56
1800,0.52
1850,0.42
1900,0.5
1950,0.36
2000,0.52
2050,0.58
2100,0.6
2150,0.42
2200,0.38
2250,0.52
2300,0.44
2350,0.44
2400,0.36
2450,0.58
2500,0.46
2550,0.5
2600,0.58
2650,0.5
2700,0.52
2750,0.54
2800,0.68
2850,0.52
2900,0.44
2950,0.36
3000,0.66
3050,0.38
3100,0.52
3150,0.5
3200,0.62
3250,0.48
3300,0.64
